lad20cd,loneliness,ITEMS
E06000023,4.854660223122046,7842658
E07000073,3.7408952063997387,1879764
E09000030,3.554256268916002,5272307
E07000151,3.553781051936398,1931831
E07000070,3.527474414124155,3440483
E07000092,3.527233056592737,1598591
E09000029,3.4677699043193595,3598002
E07000074,3.419141531598665,1444001
E09000013,3.272607041304848,2837979
E07000154,3.2369845244158943,4904987
E09000022,3.071842811521255,4688626
E07000132,3.064180430065958,2431990
E09000021,3.030705935061846,2483331
E07000079,2.9859537267183973,2112148
E07000095,2.9812299806507263,2190999
E07000082,2.8602391503625393,2239811
E09000028,2.7762089319136756,4173714
E09000014,2.717970073372845,4147016
E09000027,2.6523214797767345,2882841
E07000155,2.599886713771989,1575060
E07000219,2.575680668928063,2892090
E09000001,2.5675239754343977,91347
E07000178,2.54417410716524,2099340
E07000152,2.527094339424833,2175825
E07000077,2.4629381001697297,1803722
E09000002,2.3485950505766335,3777227
E07000103,2.3241419468085978,1220099
E09000020,2.307515118443403,2075034
E07000072,2.27594971866401,1966297
E07000138,2.2358199552384397,2302823
E07000029,2.1967890149882074,1830657
E07000153,2.184447692172054,2337488
E08000018,2.15968510480804,6222270
E06000016,2.1520384562590387,6709243
E06000031,2.1520010728901817,3843751
E06000003,2.1395927858144344,3806181
E07000156,2.136778164090751,1753515
E07000026,2.1053317801168507,2532932
E07000242,2.1002802454878053,2623470
E07000067,2.0680813580106387,2966520
E07000096,2.064119702121593,2712787
E07000124,2.0400999525470853,1193533
E07000099,2.031677274207668,2643799
E07000131,1.986923874895587,1893003
E09000009,1.9517209926437231,6380508
E07000089,1.9320072352972886,1479938
E07000027,1.8952674885826766,1672051
E09000018,1.8848506854814588,4025031
E09000032,1.870196847418293,4916836
E09000025,1.8511797945188369,6362663
E07000179,1.8446873789909695,2395014
E09000024,1.8114861340602035,2977670
E07000062,1.7890424696160299,2207533
E07000181,1.7770874207933582,2310085
E07000008,1.6745517311313332,2113562
E07000140,1.6401169377239104,2887419
E07000147,1.6117475676279167,3089237
E07000071,1.6031694890105779,3947638
E09000010,1.5869860335711594,5257805
E07000221,1.5489217641038988,3202977
E07000030,1.5387432640067766,1098477
E07000075,1.535313140849613,1579350
E06000005,1.5251524337087607,2653469
E06000040,1.5140878582914201,2035176
E07000144,1.4861721619989603,2639077
E06000004,1.4800411192745906,4453641
E07000028,1.4034171839191916,2302990
E07000009,1.3855555478885262,1826435
E07000011,1.3662936547606404,3769346
E09000033,1.3559634623776848,2856459
E07000111,1.329231984462038,1632596
E07000177,1.305884803832536,3144022
E08000037,1.300238975545458,5669698
E07000084,1.28516973148489,3031340
E07000126,1.2249375196301107,2254906
E08000024,1.2195923875828618,8968002
E06000017,1.20858493624596,951275
E06000054,1.2083335930479722,9518582
E07000142,1.1560627877487768,2441455
E07000241,1.1543261525164676,2559906
E07000143,1.1423838546250895,3576395
E07000064,1.123477228490932,2202779
E07000203,1.0711781910338014,2392505
E07000243,1.0616406060404535,1898298
E06000034,1.060975635475346,3111851
E07000107,1.046671056379709,1883211
E07000012,1.0448738339536667,2555604
E06000039,1.040355173947923,2445409
E09000026,1.0360341462038178,4467314
E07000210,1.0351050333613079,1457010
E07000080,0.9917788788493905,2099950
E07000141,0.9685551042996605,4176980
E06000047,0.9577077637403593,16058320
E07000041,0.9537386370944403,2762819
E07000069,0.9397310429819836,1588406
E07000139,0.9361828501301794,2519652
E07000148,0.9268644287753651,2948920
E07000245,0.9215470024297625,4377396
E06000033,0.9194006451479061,2998565
E09000016,0.8960343263537852,4162098
E06000010,0.8806050290241598,6887421
E07000200,0.8596602940407846,2229738
E07000180,0.8548014783252638,1968392
E06000037,0.8488323077450469,2698890
E09000031,0.8439637207659682,3686104
E07000128,0.8285816928149675,2997723
E07000033,0.8270522147089912,2555370
E07000129,0.79315299296999,1770220
E07000083,0.7779378031332571,1729614
E07000174,0.7764052985126721,2959473
E07000076,0.7717205830217008,4475836
E09000005,0.7685913192306926,5472565
E07000146,0.7629824636294782,4179394
E09000012,0.7580858302045408,3007300
E09000017,0.7459243593012037,4549554
E07000225,0.7205949419891075,2430498
E07000078,0.7188198517549258,2092404
E06000038,0.7122353606749058,2822933
E06000060,0.6607160107349044,8299748
E07000134,0.6463700042282723,2163155
E07000125,0.6371963752486384,1514922
E07000094,0.6246407893871286,2025424
E07000110,0.6184923167278407,3409036
E07000222,0.6114199644859749,2271288
E07000102,0.6078804671961733,1325326
E07000115,0.5983640295441023,2641900
E07000218,0.5906930894042403,1701465
E09000015,0.5905563641697724,3886809
E07000207,0.58968775270856,1776192
E09000007,0.5812536279194975,2514412
E07000171,0.5591766180443224,2775258
E07000176,0.5578428735161378,2110381
E07000035,0.5528704444357047,1858525
E07000123,0.5358249959501007,2769791
E09000003,0.5338974445992721,5654703
E07000214,0.5208280922580715,1662150
E06000036,0.5083795260919866,1444511
E07000195,0.4990363455865219,2914795
E07000229,0.4881708427926596,2384059
E09000008,0.4871055714338225,5440156
E07000149,0.4854195994308351,3068560
E08000002,0.4749838164202139,3813933
E06000053,0.4513812438415017,43881
E07000220,0.43372100196488683,1881849
E06000049,0.39763059248469806,8074459
E07000117,0.396463159830435,2083953
E08000026,0.39482613592985405,6844816
E06000030,0.39187312853936485,4259414
E07000031,0.38336695926784303,2303217
E07000098,0.37802534800499843,2286298
E07000211,0.37701680311170643,2029097
E07000227,0.3637089386465037,2377891
E07000133,0.36139580191276743,984823
E07000113,0.34954229075594034,2544704
E09000011,0.3425738107094676,3709390
E07000081,0.3352343489640549,2552343
E06000002,0.31983567921033607,3588470
E07000130,0.3082425129993901,3330195
E08000021,0.2892938092612339,7599662
E07000038,0.2782956133391752,2086695
E06000035,0.2735500739355057,5153391
E06000056,0.2662121015029313,4951044
E06000021,0.2567763589858941,6407109
E06000008,0.2530123721044055,3508421
E07000109,0.2505522142673726,2014248
E07000150,0.24072066985924553,1583608
E08000016,0.23878372561929648,7512081
E07000034,0.22186131700707812,2458698
E06000001,0.21948156789082696,2166076
E07000237,0.2074917012621189,2086758
E07000118,0.195133520707926,2121059
E07000010,0.19344748574450055,2870129
E07000116,0.17655342138212446,2278770
E07000238,0.1670101648992604,2907646
E07000216,0.1302121082608264,2571367
E07000169,0.12379248169726187,1582231
E07000166,0.11483896426034812,1044127
E08000014,0.10903145315285417,6819100
E08000022,0.09730480250339876,5435170
E07000208,0.0601492203487633,1015247
E06000007,0.050202006783421904,3923772
E07000175,0.02769196856998385,2648233
E07000240,0.013702205204543516,2069153
E07000213,0.004262935340424434,1385466
E08000012,0.0021304541284665746,11938451
E08000007,-0.0826982840004633,6635421
E06000013,-0.08341818721506333,4860415
E07000061,-0.09017895175217264,2136237
E07000085,-0.09221317583539201,2083869
E07000163,-0.09730903195031992,1223105
E07000136,-0.11325625797858174,1803452
E06000022,-0.12126859364831652,3914247
E07000066,-0.13485087505904986,3355171
E07000065,-0.1511408804075603,3297588
E07000244,-0.1842097129860134,5445930
E08000010,-0.19185322020770434,6797028
E09000019,-0.26118601795968255,2928714
E06000057,-0.3617406680454768,8582720
E06000020,-0.37038234932313596,3057921
E07000120,-0.38804451153274394,1828563
E07000087,-0.40662149593356756,1832311
E09000004,-0.4240581734279633,3691696
E07000198,-0.43308624067186774,2055941
E07000145,-0.4566441770373796,2254295
E07000119,-0.46241512337322244,1855924
E08000005,-0.4826841085944566,4483072
E06000014,-0.49065688872203883,3651847
E07000170,-0.49576900882812414,2968510
E08000023,-0.5053366515491855,4228836
E06000025,-0.5401480429357594,4246637
E07000223,-0.5510711944643043,1082607
E07000202,-0.5762648649343849,3026724
E06000042,-0.5794547032844597,4082303
E08000009,-0.6120479578740616,4941515
E07000235,-0.6130536619883087,1658292
E07000122,-0.627205095217368,1775861
E08000013,-0.6517028311860242,4978493
E06000041,-0.6549168979695205,2166564
E06000012,-0.6678797299811645,3949441
E06000055,-0.6926301817324322,2789653
E06000051,-0.7089734673566748,6268806
E07000167,-0.7430416051818911,1325981
E06000009,-0.7812081453007886,4710040
E07000164,-0.7889450933729454,1990753
E07000215,-0.8015153449833707,1233904
E07000165,-0.8097236949741476,3209893
E07000127,-0.8316053587615575,2240368
E07000224,-0.8560614907796519,3307923
E06000052,-0.8631314385186708,13415909
E07000209,-0.8927090160342716,1413749
E06000045,-0.8940215024269285,3793471
E07000036,-0.9055492243960916,1863475
E07000168,-0.9463794503362679,3091208
E06000043,-0.949617042729344,4679132
E07000037,-0.9722620697483177,1883321
E08000036,-0.97821711291946,7293344
E07000137,-0.9797678054598429,5294355
E06000059,-1.0161888772921739,8880407
E08000035,-1.0171438768309513,16300439
E06000024,-1.0253415863334874,4592594
E08000019,-1.041364706899868,13420789
E07000047,-1.0741343913467896,1364060
E06000050,-1.0857647314759342,7587490
E07000063,-1.1403873566829983,1822522
E07000040,-1.1551559062269963,3264863
E07000217,-1.155324234538144,1361619
E08000004,-1.1668584816928729,5121307
E07000135,-1.1739575301278253,1012697
E07000212,-1.200606362259474,1109037
E07000112,-1.217482112543685,2297446
E08000008,-1.218682949761269,5084492
E07000088,-1.2270691739860626,1592702
E08000006,-1.2408252089960625,6125888
E07000105,-1.2686802026966109,2310252
E07000045,-1.2695399183251395,2423743
E08000028,-1.3021045064738819,6340193
E07000114,-1.3132742388191374,3123818
E07000228,-1.3190201390511298,2145840
E07000068,-1.3212957532754124,1082139
E09000006,-1.3278678834886826,4082058
E07000188,-1.3436324378265692,2733447
E07000086,-1.3448547250194574,2021254
E06000026,-1.3933599256860716,5811852
E07000042,-1.393498577334527,1946302
E07000197,-1.4054879947956496,2596527
E07000093,-1.4441998166561985,1877360
E07000193,-1.4521671133253433,2477507
E06000027,-1.47810717367155,3356073
E09000023,-1.479272064857081,3332917
E07000032,-1.492615997257615,2480779
E07000189,-1.5024932738127927,3328147
E08000001,-1.5034185940172369,6020559
E07000044,-1.5103245388515882,1294812
E07000239,-1.5365590785320402,2057832
E08000011,-1.5490883944847937,4061804
E06000019,-1.5508706796571587,3754051
E07000090,-1.5789059025896766,2301047
E06000018,-1.6587450505968584,5538089
E07000199,-1.6793561605989646,1894444
E07000236,-1.693367279503436,1355539
E06000032,-1.7535478923192154,3353932
E06000046,-1.7675473027875366,3221735
E07000187,-1.7773521765216298,2005681
E08000003,-1.8042100133063932,11931094
E06000006,-1.8148189912238457,2944059
E07000192,-1.8913380756696196,2236925
E07000194,-1.8975916389793623,1701796
E06000011,-1.9158007874472602,7973190
E07000226,-1.9716373751476606,2124358
E06000044,-1.9934775475718487,3599883
E07000173,-1.99421390442496,1848985
E08000034,-2.024120519708931,8881405
E08000017,-2.0262035714127324,7861990
E07000091,-2.032499831373271,3999478
E07000172,-2.052131892867567,1814648
E07000106,-2.0788377201141683,2951229
E08000033,-2.159160576790401,4697313
E07000043,-2.164021555184285,2375685
E06000015,-2.309636115975811,4116566
E07000121,-2.3514983313907094,2981273
E08000029,-2.3889535072193206,3995003
E07000046,-2.4716874329137015,1751590
E08000031,-2.497529771198021,5605508
E08000030,-2.4975751680860325,5438889
E08000027,-2.5536460915268107,6086095
E07000234,-2.5914306626021353,1444967
E07000039,-2.7444756186596,1399575
E07000196,-2.7828906976010988,1851640
E08000032,-2.9109651766096967,11427518
E07000246,-3.127225764608293,3009181
E07000108,-3.1554134558643807,2027506
E06000058,-3.3435363100227002,7302006
E08000025,-3.8997513938123776,19714340
E08000015,-4.189449527149746,7721138
