MSOA11CD,loneliness,LISA_score,LISA_support
E02003034,8.463068485178242,1.0,8
E02000018,8.163627652112428,1.0,6
E02000822,7.8605091724341625,1.0,5
E02000798,7.808716060370814,1.0,9
E02006887,7.733148043291379,1.0,8
E02003064,7.617314875206892,1.0,7
E02000828,7.576212393009621,1.0,6
E02003062,7.547946412562853,1.0,6
E02006890,7.469795936966035,1.0,6
E02003051,7.43764750726298,1.0,5
E02003050,7.421576707162168,1.0,9
E02006888,7.255872840056433,1.0,6
E02000878,7.223602251027451,1.0,7
E02000833,7.1920802786730444,1.0,6
E02000858,7.126563383714837,1.0,5
E02003056,7.091725067252174,1.0,9
E02003061,7.085248972213369,1.0,5
E02004803,7.031009445675108,1.0,5
E02003059,7.030445027966245,1.0,5
E02003047,6.885693411275729,0.8571428571428571,7
E02000831,6.788095543176237,1.0,6
E02003052,6.503478181141203,0.8,5
E02002842,6.49669850540387,1.0,6
E02003048,6.38850875400867,1.0,7
E02001591,6.376832789282574,1.0,5
E02006851,6.2571032882053705,1.0,6
E02003057,6.166613915706263,0.875,8
E02003063,5.994719524547339,1.0,4
E02006889,5.850534512591606,1.0,6
E02003036,5.816616130301132,1.0,6
E02000633,5.814613013639926,1.0,5
E02003055,5.786700977243694,1.0,6
E02000628,5.763932075620748,1.0,7
E02004888,5.7332244176269915,1.0,6
E02000615,5.672003773599023,1.0,8
E02004760,5.633113779124864,1.0,8
E02000836,5.529404747147876,1.0,5
E02000254,5.5267401783577315,1.0,6
E02003043,5.457131934814381,1.0,8
E02005658,5.424295694559553,1.0,7
E02003012,5.4053271121746835,1.0,6
E02003031,5.390039189380717,1.0,7
E02002672,5.375719241202601,1.0,5
E02000840,5.365752620090156,1.0,7
E02000631,5.348454949009111,1.0,7
E02003030,5.3461916385025,1.0,8
E02000843,5.345579742539506,1.0,6
E02000616,5.336706930296421,0.8,5
E02004851,5.315302078260663,1.0,4
E02000490,5.150233123837627,1.0,4
E02000588,5.138856821652067,0.8,5
E02000716,5.132861550758944,1.0,7
E02004848,5.105426367361616,1.0,8
E02004500,5.07140675503091,1.0,8
E02000715,5.0486953788974915,1.0,6
E02000493,5.045413677696571,1.0,3
E02000377,5.042961687441274,1.0,7
E02001590,5.015585457251424,1.0,6
