PRACTICE_CODE,YEAR,POSTCODE,depression,alzheimers,blood pressure,insomnia,social anxiety,ITEMS,depression_perc,depression_perc_trim,depression_perc_trim_zscore,alzheimers_perc,alzheimers_perc_trim,alzheimers_perc_trim_zscore,blood pressure_perc,blood pressure_perc_trim,blood pressure_perc_trim_zscore,insomnia_perc,insomnia_perc_trim,insomnia_perc_trim_zscore,social anxiety_perc,social anxiety_perc_trim,social anxiety_perc_trim_zscore,loneliness_prac,laua,msoa11,lat,long
-,2019,-,6017,183,2888,794,1751,208577,2.884785954347795,2.884785954347795,-2.27632756551004,0.08773738235759455,0.08773738235759455,-0.8831978315398793,1.3846205478072846,4.3213069275017855,-3.0367630732670365,0.3806747627974321,0.3806747627974321,-0.3434124009166285,0.8394981229953447,0.8394981229953447,-1.3250754377547231,-7.864776308988308,,,,
01K998,2019,LA11QD,270,8,382,9,62,3730,7.238605898123325,7.238605898123325,0.6213280085363623,0.21447721179624665,0.21447721179624665,-0.015032227619951368,10.241286863270778,10.241286863270778,0.768880016158967,0.24128686327077747,0.24128686327077747,-0.8769611723501258,1.6621983914209115,1.6621983914209115,0.13621720150323366,0.6344318262284856,E07000121,E02005234,54.04898299999999,-2.796297
02R998,2019,BD57JR,220,12,394,8,56,4488,4.901960784313726,4.901960784313726,-0.9338104276037419,0.26737967914438504,0.26737967914438504,0.3473487438360828,8.778966131907309,8.778966131907309,-0.17116891073234958,0.17825311942959002,0.17825311942959002,-1.1182416328458238,1.2477718360071302,1.2477718360071302,-0.5998935039158195,-2.475765731261652,E08000032,E02002230,53.782619,-1.7552759999999998
04G998,2019,NN36BF,116,2,161,15,42,1713,6.771745475773497,6.771745475773497,0.3106121951601851,0.11675423234092236,0.11675423234092236,-0.6844329191898626,9.39871570344425,9.39871570344425,0.22723542503976416,0.8756567425569177,0.8756567425569177,1.5512788031207165,2.4518388791593697,2.4518388791593697,1.5387885591138573,2.9434820632446606,E07000154,E02005651,52.276699,-0.873208
04Q998,2019,LN42HN,1172,48,2341,72,213,20170,5.810609816559246,5.810609816559246,-0.32906517696416965,0.23797719385225583,0.23797719385225583,0.14594223639917622,11.606346058502726,11.606346058502726,1.6464046276198463,0.35696579077838375,0.35696579077838375,-0.43416556482592056,1.0560237977193851,1.0560237977193851,-0.9404792648494632,0.08863685737946903,E07000139,E02005453,53.199729000000005,-0.540758
06T998,2019,CO45JR,82,0,231,6,19,1230,6.666666666666667,6.666666666666667,0.24067770065774952,0.0,0.0,-1.4841973585094554,18.78048780487805,13.648997753394752,2.959517744744014,0.4878048780487805,0.4878048780487805,0.06666007718220063,1.5447154471544715,1.5447154471544715,-0.0724577780533506,1.7102003860211579,E07000071,E02004509,51.906851,0.902967
09J998,2019,DA139LB,113,1,112,15,26,1798,6.28476084538376,6.28476084538376,-0.0134971494949971,0.05561735261401557,0.05561735261401557,-1.103219470702319,6.229143492769744,6.229143492769744,-1.810315497575529,0.8342602892102335,0.8342602892102335,1.3928215274186473,1.4460511679644048,1.4460511679644048,-0.24770676054615356,-1.7819173509003516,E07000109,E02005066,51.407056,0.352333
99K998,2019,BN72PB,681,63,1615,63,133,13983,4.870199527998284,4.870199527998284,-0.9549489180763976,0.45054709289851963,0.45054709289851963,1.6020423084765683,11.549738968747764,11.549738968747764,1.610014913080973,0.45054709289851963,0.45054709289851963,-0.07595521123782117,0.9511549738968748,0.9511549738968748,-1.1267488532048224,1.0544042390385004,E07000063,E02004381,50.873305,0.01426
A81001,2019,TS181HU,7494,426,7272,513,1657,96997,7.726012144705506,7.726012144705506,0.9457179570120792,0.43918884089198634,0.43918884089198634,1.524238481878397,7.49713908677588,7.49713908677588,-0.995187959626324,0.5288823365671104,0.5288823365671104,0.22389630500751687,1.7083002567089705,1.7083002567089705,0.2181040307495979,1.916768815021267,E06000004,E02002548,54.561625,-1.318986
A81002,2019,TS182AW,35480,1110,40335,450,9737,449528,7.892723033937819,7.892723033937819,1.0566712678233976,0.2469256642522824,0.2469256642522824,0.20723910135005663,8.97274474559983,8.97274474559983,-0.04659885304993289,0.10010499902119556,0.10010499902119556,-1.4173768789850523,2.1660497232652918,2.1660497232652918,1.0311655451005286,0.8311001822389976,E06000004,E02002548,54.569163,-1.31388
A81004,2019,TS58SB,15546,514,17953,1322,4561,221233,7.026980604159416,7.026980604159416,0.4804822178094353,0.23233423585089025,0.23233423585089025,0.10728807327737963,8.11497380589695,8.11497380589695,-0.5980145815504853,0.5975600385114337,0.5975600385114337,0.4867806990022949,2.0616273340776465,2.0616273340776465,0.8456889206846205,1.322225329223245,E06000002,E02002510,54.538198,-1.262142
A81005,2019,TS147DJ,11737,474,19947,436,3842,197506,5.942604275313155,5.942604275313155,-0.24121715290926862,0.23999270908225573,0.23999270908225573,0.15974848029750546,10.09944001701214,10.09944001701214,0.6776941547070674,0.220752787257096,0.220752787257096,-0.955561474577413,1.9452573592700981,1.9452573592700981,0.6389908142863612,0.2796548218042524,E06000003,E02002532,54.532596999999996,-1.055444
A81006,2019,TS182AT,30638,855,31502,177,9831,357720,8.56479928435648,8.56479928435648,1.5039670950185529,0.23901375377390138,0.23901375377390138,0.15304265364259853,8.806328972380634,8.806328972380634,-0.15357878274472017,0.049480040254948,0.049480040254948,-1.6111590124796291,2.7482388460248237,2.7482388460248237,2.065258655794003,1.9575306092308054,E06000004,E02002548,54.568616000000006,-1.313593
A81007,2019,TS247PW,18141,304,15705,72,4969,209339,8.665848217484559,8.665848217484559,1.5712195326735894,0.14521899884875727,0.14521899884875727,-0.4894497689428754,7.502185450393859,7.502185450393859,-0.9919439184238432,0.034393973411547776,0.034393973411547776,-1.668905434209161,2.373661859471957,2.373661859471957,1.3999293562999757,-0.17915023260231444,E06000001,E02002489,54.682342000000006,-1.214164
