PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2018,06,-,518,25,295,301,74,163,112,718,146,14634
A81001,2018,06,TS181HU,594,32,586,587,148,365,24,0,148,7936
A81002,2018,06,TS182AW,2737,99,3309,3342,666,2528,37,0,756,36429
A81004,2018,06,TS58SB,1091,36,1256,1265,327,1028,129,0,300,16423
A81005,2018,06,TS147DJ,924,29,1581,1592,248,1276,38,0,296,15905
A81006,2018,06,TS182AT,2212,65,2554,2581,546,2220,16,0,697,28499
A81007,2018,06,TS247PW,1558,33,1331,1374,263,1038,11,0,396,17737
A81009,2018,06,TS56HF,1242,18,1465,1476,361,1088,80,0,311,17425
A81011,2018,06,TS247PW,1728,39,1694,1698,314,1303,34,5,515,22545
A81012,2018,06,TS36AL,1246,18,1066,1073,259,837,28,0,267,13546
A81013,2018,06,TS122FF,1200,16,1252,1267,276,840,27,0,304,14023
A81014,2018,06,TS232LA,389,26,863,873,160,834,14,2,93,8528
A81016,2018,06,TS13QY,1008,16,1395,1398,324,1157,62,1,272,17009
A81017,2018,06,TS170EE,2371,70,2926,2961,654,2473,63,0,589,31948
A81018,2018,06,TS104NW,1686,28,2086,2101,553,1683,70,0,430,23947
A81019,2018,06,TS37RL,1675,30,1408,1431,337,1202,68,0,431,19663
A81020,2018,06,TS43BU,974,36,1350,1364,285,1012,70,0,269,16030
A81021,2018,06,TS66TD,2052,56,2678,2742,653,2350,165,1,509,31040
A81022,2018,06,TS122TG,1815,22,2010,2037,387,1409,58,0,515,21876
A81023,2018,06,TS12NX,950,8,561,572,161,375,75,0,207,9686
A81025,2018,06,TS181HU,478,18,686,688,138,620,20,0,121,7954
A81026,2018,06,TS56HA,2798,52,2369,2414,600,1873,167,0,960,34163
A81027,2018,06,TS159DD,1476,82,1911,1942,290,1506,22,0,325,20769
A81029,2018,06,TS12NX,1044,27,1054,1078,272,833,36,0,149,12615
A81030,2018,06,TS13RY,1405,53,1702,1711,377,1182,125,0,364,22251
A81031,2018,06,TS247PW,1619,42,1659,1680,337,1297,16,0,386,22205
A81032,2018,06,TS147DJ,1578,40,1821,1827,381,1370,115,0,406,22411
A81034,2018,06,TS170EE,2753,64,2945,2970,628,2176,51,0,811,37609
A81035,2018,06,TS13RX,1291,29,1289,1317,298,933,70,0,325,16963
A81036,2018,06,TS202UZ,2472,87,3019,3038,528,2258,89,6,666,34207
A81037,2018,06,TS12NX,949,16,1068,1089,302,906,79,0,198,13634
A81038,2018,06,TS36AL,483,12,622,638,228,507,61,0,192,7983
A81039,2018,06,TS169EA,1091,43,1733,1750,317,1212,27,0,348,16781
A81040,2018,06,TS232DG,1308,30,1178,1200,232,941,57,0,329,15586
A81041,2018,06,TS249DN,1190,37,1405,1410,292,998,23,0,432,14891
A81042,2018,06,TS69QG,2431,45,2987,3026,606,2525,153,2,434,31961
A81043,2018,06,TS60HA,1723,22,1502,1543,302,1125,86,0,484,19129
A81044,2018,06,TS251QU,2894,84,3872,3896,782,3245,25,0,765,41689
A81045,2018,06,TS101SR,1532,27,1601,1614,311,1282,84,0,268,19382
A81046,2018,06,TS181YE,1834,60,1948,1990,392,1378,90,0,333,24467
A81048,2018,06,TS117BL,1299,75,2236,2266,388,1765,13,0,335,20725
A81049,2018,06,TS36AL,1077,15,1109,1119,366,1157,91,0,246,15124
A81051,2018,06,TS55NN,889,25,1064,1078,197,1001,49,0,240,13629
A81052,2018,06,TS104NW,1391,36,1747,1764,370,1290,86,0,385,20357
A81053,2018,06,TS134HW,1393,28,1663,1730,299,1258,152,0,201,19280
A81054,2018,06,TS101UA,1484,40,1749,1762,337,1318,56,0,354,18974
A81056,2018,06,TS232JW,255,15,553,553,109,293,9,0,69,4505
A81057,2018,06,TS232LS,1409,30,1240,1246,283,1018,20,8,341,16425
A81058,2018,06,TS80TL,1254,34,1136,1156,223,749,75,0,270,15854
A81060,2018,06,TS268DB,595,17,519,520,144,460,53,0,137,9612
A81063,2018,06,TS240NZ,586,21,1217,1228,209,836,0,0,140,9409
A81064,2018,06,TS12NX,955,16,604,611,137,486,44,0,232,10102
A81065,2018,06,TS66TD,627,8,605,614,170,474,25,0,154,7479
A81066,2018,06,TS211JS,619,14,1042,1051,153,743,12,0,81,8851
A81067,2018,06,TS182BP,1507,30,1266,1276,365,1145,70,0,412,18050
A81070,2018,06,TS253DQ,956,33,1069,1072,222,800,8,0,249,11862
A81602,2018,06,TS232DG,312,6,700,722,99,493,9,0,107,5913
A81608,2018,06,TS176PG,668,12,947,949,202,759,4,0,139,9684
A81610,2018,06,TS232DG,981,21,1262,1278,247,949,17,9,237,13887
A81611,2018,06,TS80TL,952,31,982,1000,222,700,95,0,234,12020
A81612,2018,06,TS251AX,375,29,629,636,119,432,3,0,58,5770
A81618,2018,06,TS121BJ,1549,62,1779,1827,330,1241,88,0,481,20842
A81621,2018,06,TS39NB,384,1,269,283,88,270,23,0,88,4513
A81622,2018,06,TS268DF,839,30,808,812,156,696,0,0,196,9683
A81629,2018,06,TS182AP,730,18,788,794,222,643,20,0,164,9845
A81631,2018,06,TS249LJ,747,10,886,895,146,696,4,0,175,10217
A81632,2018,06,TS181HU,603,0,19,19,3,20,4,0,115,1949
A81634,2018,06,TS182EP,221,0,100,101,36,67,5,0,65,1949
A82003,2018,06,LA127BT,1010,43,1247,1266,269,953,82,0,283,15439
A82004,2018,06,CA93QX,275,10,578,581,88,383,16,0,50,4767
A82005,2018,06,LA229BP,519,25,1040,1052,121,655,68,4,142,9294
A82006,2018,06,CA166QR,471,19,973,985,149,621,16,0,70,8534
A82007,2018,06,LA141LF,1531,31,1412,1459,245,1011,152,26,347,19801
A82008,2018,06,LA145ES,1680,47,1923,1992,381,1268,94,1,422,22294
A82009,2018,06,LA139SH,1341,59,2042,2094,392,1430,21,66,254,19449
A82010,2018,06,LA145JY,883,37,1154,1190,230,798,49,9,210,12966
A82012,2018,06,CA81NL,2148,73,3428,3446,544,2525,108,14,456,34595
A82013,2018,06,CA174AY,688,30,1218,1224,263,943,33,6,85,12913
A82014,2018,06,CA78DS,419,36,1076,1083,146,731,7,0,74,9293
A82015,2018,06,CA11EB,826,14,762,770,217,539,26,0,202,10009
A82016,2018,06,CA11DG,4568,116,4630,4695,695,3315,236,80,1002,60024
A82018,2018,06,CA11BP,1329,46,1248,1265,134,1021,70,22,383,16775
A82019,2018,06,CA12HE,1085,29,1173,1199,224,827,23,0,231,14127
A82020,2018,06,CA27AJ,1530,40,1671,1697,286,1146,111,0,433,21005
A82021,2018,06,CA139HT,1778,65,3515,3568,460,2072,75,0,348,30622
A82022,2018,06,CA57PZ,645,29,1289,1293,174,908,5,0,137,10474
A82023,2018,06,CA145UR,696,14,1245,1251,199,1011,22,6,171,11696
A82024,2018,06,CA201PN,549,27,1360,1379,200,896,26,10,125,11179
A82025,2018,06,LA94JE,1192,35,1316,1325,280,1025,79,4,253,15389
A82026,2018,06,LA97HR,1638,79,2849,2875,511,2074,44,0,242,28053
A82027,2018,06,LA96SA,1000,29,1694,1708,319,1380,29,0,182,17394
A82028,2018,06,CA124DB,720,60,1780,1797,203,1186,22,0,174,14511
A82029,2018,06,CA75JH,289,12,775,777,109,431,3,0,34,5905
A82030,2018,06,LA62HQ,662,39,1071,1095,153,847,52,0,96,12069
A82031,2018,06,CA103LW,513,18,954,958,132,690,14,0,108,8637
A82032,2018,06,CA158EL,2300,69,2946,2969,559,1839,49,85,437,30089
A82033,2018,06,LA184BY,1070,38,1155,1183,271,812,167,0,301,16229
A82034,2018,06,LA77PW,695,49,1589,1613,191,998,51,0,105,13821
A82035,2018,06,CA118HW,1366,49,1799,1847,249,1138,49,0,308,20517
A82036,2018,06,CA118HW,911,41,1415,1427,210,1050,6,1,145,14844
A82037,2018,06,CA74AH,630,18,981,994,175,675,9,0,73,10883
A82038,2018,06,CA101RW,412,10,885,890,112,631,19,4,122,8063
A82039,2018,06,LA158AB,819,48,1561,1591,230,904,44,4,221,14591
A82041,2018,06,CA287RG,1712,47,2323,2340,390,1575,51,9,346,22630
A82044,2018,06,CA287QE,3264,73,4786,4866,747,2727,122,95,565,47848
A82045,2018,06,CA79QD,1134,21,1609,1626,256,1196,91,0,227,17047
A82046,2018,06,LA232EG,457,25,846,855,153,656,26,0,57,7861
A82047,2018,06,CA142DL,1534,47,2079,2097,280,1333,92,33,232,21318
A82048,2018,06,CA143FT,1076,21,1075,1081,196,758,22,24,244,12500
A82049,2018,06,CA142ED,798,17,892,906,145,675,20,36,168,10898
A82050,2018,06,CA142AJ,1097,27,1241,1261,200,864,71,25,247,14263
A82053,2018,06,LA117DJ,571,50,1198,1210,194,831,26,0,101,11369
A82055,2018,06,CA73HH,847,10,1444,1492,285,1048,30,0,180,13946
A82058,2018,06,CA287BA,681,27,957,970,122,536,12,0,99,9080
A82060,2018,06,CA287PA,642,8,971,983,192,713,24,0,98,10008
A82062,2018,06,LA142LR,562,13,740,758,137,522,4,10,169,8007
A82064,2018,06,CA222DB,759,11,1077,1092,215,889,84,18,173,10964
A82065,2018,06,LA117DJ,442,24,897,904,141,672,16,0,92,8972
A82068,2018,06,LA127BT,483,31,576,580,86,339,37,0,73,6305
A82070,2018,06,LA231BA,466,15,1089,1105,150,650,29,4,69,9685
A82071,2018,06,LA143HY,528,31,1080,1097,144,606,29,17,93,9250
A82072,2018,06,LA139RX,1343,23,1464,1503,245,1187,39,2,285,15628
A82075,2018,06,CA287BU,912,23,1293,1315,217,808,20,6,225,12023
A82077,2018,06,LA139QY,940,8,549,573,166,445,51,5,176,10522
A82608,2018,06,LA105DL,374,16,764,773,154,507,13,0,28,7089
A82617,2018,06,CA101DQ,227,8,449,449,72,366,15,0,39,4494
A82620,2018,06,CA110PD,57,16,191,191,29,133,1,7,17,1282
A82621,2018,06,LA167JP,124,4,296,297,39,198,8,0,11,3037
A82623,2018,06,CA142RW,667,23,905,916,166,695,22,0,92,9787
A82629,2018,06,LA145SL,631,8,735,748,121,511,18,10,182,7602
A82631,2018,06,CA40HP,398,25,710,713,92,419,13,0,90,6544
A82646,2018,06,CA65XA,676,15,739,744,206,672,4,0,174,8375
A82647,2018,06,LA116PH,309,30,597,598,67,389,5,2,42,5624
A82650,2018,06,LA128QF,286,8,512,514,60,304,12,0,40,4873
A82651,2018,06,LA177TE,274,4,432,435,94,372,21,11,44,5428
A82654,2018,06,CA11LB,929,44,1432,1444,193,761,90,0,216,13263
A83001,2018,06,DL166QA,1819,101,2171,2179,389,1458,58,0,557,24918
A83003,2018,06,DL150EQ,1477,54,1835,1862,397,1384,39,0,471,22324
A83004,2018,06,SR78LF,886,15,1046,1072,296,922,8,0,224,10993
A83005,2018,06,DL13RT,1697,78,1994,2003,454,1621,89,2,516,24422
A83006,2018,06,DL36HZ,843,77,866,868,248,856,66,10,225,12499
A83007,2018,06,TS274LQ,2180,62,2141,2149,560,2012,72,2,457,29003
